	title	contributor	date	lot	country	city	locationdef	source	basename	ur
3849	[Treib, chalet on lake, Lake Lucerne, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703113.jpg	http://www.loc.gov/item/2001703113/
3850	[Graz, view from the Schlossberg, Styria, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710966.jpg	http://www.loc.gov/item/2002710966/
3851	[Stirling, from Abbey Craig, Scotland]	no contributor	1890	LOT 13407	no country	no city	Scotland	Views of landscape and architecture in Scotland	2002695053.jpg	http://www.loc.gov/item/2002695053/
3852	[Raftsund from Digermulen, Lofoten, Norway]	no contributor	1890	LOT 13432	no country	no city	Norway	Landscape and marine views of Norway	2001698838.jpg	http://www.loc.gov/item/2001698838/
3853	Loop and tunnels, Siskiyou Mountains, California	['Detroit Photographic Co.']	1900	LOT 13923	no country	no city	US	no source	2008678189.jpg	http://www.loc.gov/item/2008678189/
3854	[Zell on the lake (i.e., Zell am See) from the Steinernes Meer, Austria, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002708455.jpg	http://www.loc.gov/item/2002708455/
3855	[Dyserth Falls, Rhyl, Wales]	no contributor	1890	LOT 13408	no country	no city	Wales	Views of landscape and architecture in Wales	2001703543.jpg	http://www.loc.gov/item/2001703543/
3856	Suez, depuis Port Tewfic	['Photoglob Co., publisher']	1890	LOT 14192	['egypt']	['suez']	Egypt	no source	2017656979.jpg	http://www.loc.gov/item/2017656979/
3857	[General view, Verona, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001701084.jpg	http://www.loc.gov/item/2001701084/
3858	[Jopengasse, Danzig, West Prussia, Germany (i.e., Gdańsk, Poland)]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002714026.jpg	http://www.loc.gov/item/2002714026/
3859	Mitre Peak and Sinbad Gully, Milford Sound	['Photoglob Co., publisher']	1890	LOT 14192	['new zealand']	no city	New Zealand	no source	2017658064.jpg	http://www.loc.gov/item/2017658064/
3860	[Jesmond Dene, old mill, Newcastle-on-Tyne, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708005.jpg	http://www.loc.gov/item/2002708005/
3861	[The Promenade, Blackpool, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696385.jpg	http://www.loc.gov/item/2002696385/
3862	Upper Cascade Lake, Adirondack Mountains	['Detroit Photographic Co.']	1902	LOT 13923	no country	no city	US	no source	2008679632.jpg	http://www.loc.gov/item/2008679632/
3863	[View of the Elbe and Bruhlsche Terrace, Altstadt, Dresden, Saxony, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720579.jpg	http://www.loc.gov/item/2002720579/
3864	Tilleul / Linde, Sihlhölzli Zürich	no contributor	1890	LOT 14194	no country	no city	na	Photochrom print collection	2017651750.jpg	http://www.loc.gov/item/2017651750/
3865	[General view and Benezech Bridge, Avignon, Provence, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698584.jpg	http://www.loc.gov/item/2001698584/
3866	[Marienburg, east side, Prussia, Germany (i.e., Malbork, Poland)]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720596.jpg	http://www.loc.gov/item/2002720596/
3867	[Hardwick, New Hall, Derbyshire, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696690.jpg	http://www.loc.gov/item/2002696690/
3868	Norwich. Castle & Cattle Market	no contributor	1890	LOT 14184	['great britain']	['norwich']	UK	no source	2017659730.jpg	http://www.loc.gov/item/2017659730/
3869	[A bazaar, Tunis, Tunisia]	no contributor	1899	LOT 13427	no country	no city	Tunisia	Views of architecture and people in Tunisia	2001699395.jpg	http://www.loc.gov/item/2001699395/
3870	[New Bridge and Pilatus, Lucerne, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703056.jpg	http://www.loc.gov/item/2001703056/
3871	[Spalato, sphynx on Diocletian's Mausoleum, Dalmatia, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710823.jpg	http://www.loc.gov/item/2002710823/
3872	[Tilly Whim Caves, Swanage, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708140.jpg	http://www.loc.gov/item/2002708140/
3873	Grèce. Eleusis. Temple des Mystères	['Photoglob Co., publisher']	1890	LOT 14192	['greece']	['eleusis']	Greece	no source	2017658121.jpg	http://www.loc.gov/item/2017658121/
3874	[Vicinity of Newland Church, Monmouth, Wales]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002697081.jpg	http://www.loc.gov/item/2002697081/
3875	[Semmering Railway, Schottwien, Styria, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710989.jpg	http://www.loc.gov/item/2002710989/
3876	[From Constitution Hill, Aberystwith, Wales]	no contributor	1890	LOT 13408	no country	no city	Wales	Views of landscape and architecture in Wales	2001703406.jpg	http://www.loc.gov/item/2001703406/
3877	Staircase to the Capitol, Albany, N.Y.	['Detroit Photographic Co.']	1902	LOT 13923	no country	no city	US	no source	2008678166.jpg	http://www.loc.gov/item/2008678166/
3878	[The Tonhalle, II., Zurich, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703369.jpg	http://www.loc.gov/item/2001703369/
3879	[Hotels, vuurtoren, and gedenknaald, 1830, Scheveningen, Holland]	no contributor	1890	LOT 13423	no country	no city	Netherlands	Views of architecture and other sites in the Netherlands	2001699550.jpg	http://www.loc.gov/item/2001699550/
3880	[Richmond, the terrace, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696956.jpg	http://www.loc.gov/item/2002696956/
3881	[A branch of lemons, Limone, Lake Garda, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700816.jpg	http://www.loc.gov/item/2001700816/
3882	Pee Viggi and squaw	['Detroit Photographic Co.']	1899	LOT 13923	no country	no city	US	no source	2008678259.jpg	http://www.loc.gov/item/2008678259/
3883	[The Neckar Bridge, Mannheim, Baden, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713599.jpg	http://www.loc.gov/item/2002713599/
3884	[From the West Cliff, Bournemouth, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696405.jpg	http://www.loc.gov/item/2002696405/
3885	[General view, Thiers, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698711.jpg	http://www.loc.gov/item/2001698711/
3886	[Trier (Treves), Moselle, valley of, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713960.jpg	http://www.loc.gov/item/2002713960/
3887	[Altenstein Castle, Thuringia, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720703.jpg	http://www.loc.gov/item/2002720703/
3888	[Castle, II, Chepstow, Wales]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696540.jpg	http://www.loc.gov/item/2002696540/
3889	[The Damascus Gate, Jerusalem, Holy Land]	no contributor	1890	LOT 13424	no country	no city	Holy Land	Views of the Holy Land	2002725014.jpg	http://www.loc.gov/item/2002725014/
3890	Whangaroa. North Island	['Photoglob Co., publisher']	1890	LOT 14192	['new zealand']	no city	New Zealand	no source	2017657807.jpg	http://www.loc.gov/item/2017657807/
3891	[Flensburg, view from Ballastberg, II., Schleswig-Holstein, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720646.jpg	http://www.loc.gov/item/2002720646/
3892	[Castelvieil tower, Luchon, Pyrenees, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698654.jpg	http://www.loc.gov/item/2001698654/
3893	[Quedlinburg, Hartz, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713825.jpg	http://www.loc.gov/item/2002713825/
3894	[Bamberg, general view,  Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696110.jpg	http://www.loc.gov/item/2002696110/
3895	[Minster Church of St Nicholas in Great Yarmouth, Norfolk, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708290.jpg	http://www.loc.gov/item/2002708290/
3896	[From Mount Loretto, Freiburg, Baden, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713576.jpg	http://www.loc.gov/item/2002713576/
3897	[Lauterbrunnen Valley, Jungfrau and White Lutschine, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701211.jpg	http://www.loc.gov/item/2001701211/
3898	[General view, Thal von Rieka, Montenegro]	no contributor	1890	LOT 13430	no country	no city	Montenegro	Views of Montenegro	2001699415.jpg	http://www.loc.gov/item/2001699415/
3899	[The beach and the Kursaal, (i.e., Cursaal), Ostend, Belgium]	no contributor	1890	LOT 13422	no country	no city	Belgium	Views of architecture and other sites in Belgium	2001697958.jpg	http://www.loc.gov/item/2001697958/
3900	[The lighthouse, Hunstanton, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696813.jpg	http://www.loc.gov/item/2002696813/
3901	[Interior of St. Paul's, Rome, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700953.jpg	http://www.loc.gov/item/2001700953/
3902	Yorktown monument, Yorktown, Virginia	['Detroit Photographic Co.']	1902	LOT 13923	no country	no city	US	no source	2008679624.jpg	http://www.loc.gov/item/2008679624/
3903	[Kohlgrub Bad (i.e. Bad Kohlgrub), Upper Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696239.jpg	http://www.loc.gov/item/2002696239/
3904	[East parade, Bognor, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696393.jpg	http://www.loc.gov/item/2002696393/
3905	[Peveril Castle, Castleton, Derbyshire, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696669.jpg	http://www.loc.gov/item/2002696669/
3906	[Naerofjorden, Sognefjord, Norway]	no contributor	1890	LOT 13432	no country	no city	Norway	Landscape and marine views of Norway	2001700729.jpg	http://www.loc.gov/item/2001700729/
3907	Buller River. Buller Gorge	['Photoglob Co., publisher']	1890	LOT 14192	['new zealand']	no city	New Zealand	no source	2017658072.jpg	http://www.loc.gov/item/2017658072/
3908	[Thorpe, church and river, Norwich, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708013.jpg	http://www.loc.gov/item/2002708013/
3909	[Rheinfelden, Aargau, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701092.jpg	http://www.loc.gov/item/2001701092/
3910	[Part of the Kranthor, Danzig, West Prussia, Germany (i.e., Gdańsk, Poland)]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002714030.jpg	http://www.loc.gov/item/2002714030/
3911	[North sands, Tenby, Wales]	no contributor	1890	LOT 13408	no country	no city	Wales	Views of landscape and architecture in Wales	2001703555.jpg	http://www.loc.gov/item/2001703555/
3912	[Ottensheim, Upper Austria, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002708443.jpg	http://www.loc.gov/item/2002708443/
3913	[Graz, Herrengasse, Styria, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710970.jpg	http://www.loc.gov/item/2002710970/
3914	[On the Trothy, Monmouth, Wales]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002697078.jpg	http://www.loc.gov/item/2002697078/
3915	[Pass of Killiecrankie, Queen's View, Scotland]	no contributor	1890	LOT 13407	no country	no city	Scotland	Views of landscape and architecture in Scotland	2002695045.jpg	http://www.loc.gov/item/2002695045/
3916	[Furka Pass, view from the summit, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701138.jpg	http://www.loc.gov/item/2001701138/
3917	[Tell's Chapel, evening view, Lake Lucerne, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703105.jpg	http://www.loc.gov/item/2001703105/
3918	Kairo, convoi funèbre Arabe	['Photoglob Co., publisher']	1890	LOT 14192	['egypt']	no city	Egypt	no source	2017657738.jpg	http://www.loc.gov/item/2017657738/
3919	Old oak at Tampa Bay Hotel	['Detroit Photographic Co.']	1902	LOT 13923	no country	no city	US	no source	2008678170.jpg	http://www.loc.gov/item/2008678170/
3920	[The castle, Aberystwith, Wales]	no contributor	1890	LOT 13408	no country	no city	Wales	Views of landscape and architecture in Wales	2001703410.jpg	http://www.loc.gov/item/2001703410/
3921	[View from the Ness, Teignmouth, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708156.jpg	http://www.loc.gov/item/2002708156/
3922	Grèce. Thessalie. Volo	['Photoglob Co., publisher']	1890	LOT 14192	['greece']	['volos']	Greece	no source	2017658137.jpg	http://www.loc.gov/item/2017658137/
3923	[The Church, Mortehoe, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002697097.jpg	http://www.loc.gov/item/2002697097/
3924	[Zara, from the sea, Dalmatia, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710835.jpg	http://www.loc.gov/item/2002710835/
3925	[View of the southern chain of Alps, with the Titlis from Drei Linden, Lucerne, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703040.jpg	http://www.loc.gov/item/2001703040/
3926	[Mosque of St. Catherine, Tunis, Tunisia]	no contributor	1899	LOT 13427	no country	no city	Tunisia	Views of architecture and people in Tunisia	2001699383.jpg	http://www.loc.gov/item/2001699383/
3927	Menai Straits Suspension Bridge	no contributor	1890	LOT 14184	['great britain']	['bangor']	UK	no source	2017650157.jpg	http://www.loc.gov/item/2017650157/
3928	Port Tewfic, entrée du canal de Suez	['Photoglob Co., publisher']	1890	LOT 14192	['egypt']	['būr tawfīq.']	Egypt	no source	2017656980.jpg	http://www.loc.gov/item/2017656980/
3929	[Beach and casino, Malo-les Bains, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698438.jpg	http://www.loc.gov/item/2001698438/
3930	[Haddon Hall, the terrace steps, Derbyshire, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696686.jpg	http://www.loc.gov/item/2002696686/
3931	Manchester Cathedral	no contributor	1890	LOT 14184	['great britain']	['manchester']	UK	no source	2017659726.jpg	http://www.loc.gov/item/2017659726/
3932	[Old Market, Altstadt, Dresden, Saxony, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720580.jpg	http://www.loc.gov/item/2002720580/
3933	[The Arena, Arles, Provence, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698592.jpg	http://www.loc.gov/item/2001698592/
